name,price,condition,toeStyle,style,features,handmade,character,color,material,brand,occasion,sockLength,pattern,garmentCare,sizeType,theme,availability
mens black socks 12 pairs cotton rich socks mens 6-11,GBP 13.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,,,,,Cotton,SIMALA,Casual,Mid Calf,colored heels and toes,,,,599 sold
NIKE SOCKS 3 PAIRS BLACK WHITE CREW ANKLE MENS WOMENS,GBP 11.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,CREW ANKLE,"All Seasons, Arch Support, Moisture Wicking",,,,Cotton,Nike,Casual,,,,,Sports,"1,798 sold"
NIKE SOCKS 3 PAIRS PACK - LIGHTWEIGHT CREW ANKLE MENS WOMENS SPORTS,GBP 10.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,CREW ANKLE,"All Seasons, Arch Support, Cushioned, Lightweight, Moisture Wicking",No,"Andrea, Angel, Astro Boy, Atom",,Cotton,Nike,Casual,Mid Calf,,Machine Washable,Regular,Sports,"6,313 sold"
3 Pairs Mens Diabetic Socks Gentle Grip Honeycomb Top Soft Non Elastic UK 6-11,GBP 5.90,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Gentle Grip,"Diabetic, Non Elastic, Comfort Grip, Honeycomb Top, Soft Top, Gentle Grip",No,No,,Cotton,Sock Shop,"Business, Casual, Formal",Mid Calf,No Pattern,Machine Washable,Regular,Gentle Grip,212 sold
Mens Soft Solid Bamboo Silk Ankle Business Socks Thin Breathable Casual Hosiery,US $0.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress,,,,,Polyester,Unbranded,,,Solid,,,Novelty,333 sold
Mens Extra Wide Non Elastic Diabetic Loose Top Cotton Rich Soft Socks UK 6-11,GBP 5.49,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Diabetic Socks,"All Seasons, Antibacterial, Breathable, Cushioned",No,Not Applicable,,,WISHWISE,"Business, Casual, Formal, Workwear",Mid Calf,"Striped , Argyle Diamond, Colourful",Machine Washable,Regular,"Classic, Colourful, Holiday, Outdoor, Sports",73 sold
Mens Merino Wool Blend Military Work Boot Thick thermal Winter Socks 2.8 Tog,GBP 6.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Outdoor Socks,Thermal,No,Boots,,Wool,Unbranded,Casual,Mid Calf,No Pattern,Machine Washable,Regular,"Army, Outdoor","2,521 sold"
Men 6-11 Fashion Plain Rich Colour Colourful Comfortable Socks 29 colours,GBP 4.00,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,,,N/A,,,Macahel,,Ankle Socks,Plain,Machine Washable,Regular,Colourful,"16,530 sold"
Mens Socks 6 Pairs Black Ankle Cotton Rich Everyday Work Socks Size UK 6-11,GBP 5.49,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,"All Seasons, Lightweight, Breathable",,N/A,,"51% Cotton, 42% Polyester, 5% Nylon and 2% Elastane",FCO,"Business, Casual, Formal",Mid Calf,,Machine Washable,Regular,,207 sold
MEN OVER KNEE HIGH SOCKS BASEBALL HOCKEY RUGBY FOOTBALL SOCCER SPORT LONG SOCKS,GBP 4.26,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Football Socks,"Long Socks, Over Knee, Sports Socks",,,,,4aquariusuk,Casual,Over the Knee,,,,Sports,198 sold
CK Calvin Klein Mens Womens Ankle Trainer Socks Liner Comfort Cotton Sports lot,GBP 3.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Athletic Socks,"All Seasons, Antibacterial, Breathable, Lightweight, Moisture Wicking",No,Logo,,Cotton,Calvin Klein,"Casual, Workwear",Trainer Socks,No Pattern,Machine Washable,Regular,Sports,"1,238 sold"
5 Pack Men Ankle Five Finger Toe Socks Combed Cotton Casual Sport Breathe Mesh,GBP 9.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Toe,"All Seasons, Antibacterial, Breathable",,,,"Cotton Blend, 70%Combed Cotton+18%Polyester+8%Nylon+4%Spandex",Unbranded,"Business, Casual, Formal",Low Cut,Solid,Machine Washable,Regular,"90s, Sports, Fashion",52 sold
Mens Socks Ribbed Big Foot 100% Cotton Luxury Long Heavy Duty Sizes 9-13,GBP 5.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Half Toe,Dress Socks,All Seasons,,,,Cotton,City Boutique London,Everyday,Mid Calf,No Pattern,Machine Washable,Regular,Classic,418 sold
12 Pairs Men's Circulatory Diabetic Crew Socks Health Cotton 9-11 10-13 13-15,US $19.99/ea,"New with box: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Heavy Diabetic Crew Cushioned Socks,Easy to Use,,,"White,Black,Grey,Khaki,Navy,Brown",Cotton,Vinco,,,Solid,,,,"1,033 sold"
1 Pairs Men No Show Socks Seamless Ice Silk Non-slip Low Cut Invissible Socks~,US $0.99/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,Breathable,,,,"Nylon, Spandex",Unbranded,,No-Show,Floral,,Regular,Classic,12 sold
Mens Socks 6 Pairs Casual Smart Work Golf Cotton Design Coloured Socks Size 6-11,GBP 4.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,"All Seasons, Breathable, Lightweight",,N/A,,"49% Cotton, 48% Polyester and 2% Elastodiene and 1% Elastane",FCO,"Business, Casual, Formal",Mid Calf,Striped,Machine Washable,Regular,,360 sold
12 Pairs Mens/Boys Cotton Rich Colour Heel & Toe Black Socks Sizes 9-12 12-3,GBP 8.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Dress Socks,Breathable,,,,"65% Cotton, 33% Polyester, 2% Elastane",Soxy,Casual,Mid Calf,Colour Heel & Toe,,Regular,,"18,528 sold"
Mens Womens Trainer Pairs Ankle Quarter Crew Thin Socks Cotton Casual Sports LOT,GBP 1.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Athletic Socks,"Breathable, Lightweight, Moisture Wicking, Seamed",No,Trainer,,Cotton,Unbranded,Casual,Mid Calf,No Pattern,,Regular,Sports,543 sold
"12 Pairs Of Mens Thermal Socks, Black Warm Work Boot Socks, Size 6-11",GBP 7.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,Thermal,,n/a,,85% acrylic 15% mixed fibres.,SockStack,Casual,Mid Calf,,,Regular,Outdoor,991 sold
Waterproof Wudhu (Massah) Socks 100% Sharia'h Compliant,GBP 12.09,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,"waterproof, wudu, Antibacterial, Breathable",No,,,Nylon,Waterproof,,Mid Calf,,,Regular,,"3,081 sold"
"12 Pairs Men's Seamless Socks Designer Cotton Casual Work Dress Socks, Size 6-11",GBP 9.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Crew Socks,"All Seasons, Seamless Toe",No,N/A,,"Cotton, Cotton Blend",Designer,Casual,Mid Calf,No Pattern,Machine Washable,Regular,Designer,37 sold
Mens Designer Diabetic Socks Non Elastic Cotton 3 6 12 Pairs .,GBP 4.29,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,All Seasons,,Patterns,,"55% Cotton, 20% Polyester, 2% Elastane.",Unbranded,Casual,Mid Calf,Mixed,Machine Washable,Regular,Dress,26 sold
10/20 Pairs Mens Cotton Rich Cushion Sole Sport Socks Shoe Size 6-11 Black White,GBP 7.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sports Socks,Cushioned,,,,"Cotton Blend, Cotton",SOLE,Casual,Ankle Socks,No Pattern,,Regular,Sports,"29,562 sold"
3 Pack Mens Cushioned Double Layer Liner Anti Blister Hiking Walking Socks,GBP 12.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,"Double Layer, Anti Blister, Cushioned",,,,"72% Cotton, 13% Polyester, 11% Nylon, 2% Elastane,",Sock Snob,Casual,,,,Regular,,"2,324 sold"
12 Pairs Mens Gentle Grip Non Elastic Socks Soft Cotton Comfort UK6-11 EUR 39-45,GBP 7.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,All Seasons,No,Boots,,75%Cotton 19%Polyester 5%Nylon 1%Elastane,sockshop,Casual,Ankle Socks,,Machine Washable,6/11,Designer,794 sold
Nike Everyday Cushioned Training Crew Socks (6 Pairs) Black Mens Size UK 8-11!,GBP 18.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,Cushioned,,,,,Nike,Casual,,,,,,94 sold
Men's Women's Sports Socks Ankle Sock Short Socks Trave Socks,US $1.29/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,,,,,Polyester,Unbranded,Casual,,,,Regular,,81 sold
3 Pairs Ladies OR Mens Sport Gym Yoga Non Slip Gripper Sole Trainer Liner Socks,GBP 4.97,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sport,Non-Slip,,Gripper,,"65% Cotton 30% Polyester, 5% Elastane",RedTag Active,Everyday,Low Cut,No Pattern,Machine Washable,,Sports,"3,120 sold"
6 Pairs Dickies Mens Heavy Duty Dri-tech Boot Work Crew Socks Cushion 6-11Sports,GBP 10.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Crew Socks,"All Seasons, Antibacterial, Arch Support, Breathable, Cushioned, Moisture Wicking, Non-Slip",No,Boots,,Cotton Blend,Dickies,"Casual, Workwear",Mid Calf,,Machine Washable,Regular,"Modern, Sports",117 sold
Men Socks Anklet Ankle Socks Short Socks Boat Socks Summer Leisure Soft,AU $3.59,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Novelty Socks,Breathable,No,,,,Unbranded,,,Solid,,Regular,,11 sold
Nike 3 Pairs Men Womens Cotton Socks Lightweight Crew Socks TieDie Select Colour,GBP 10.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,"All Seasons, Arch Support, Breathable, Lightweight, Moisture Wicking, Non-Slip",No,home,,"Cotton, Elastane, Polyester",Nike,"Business, Casual, Workwear",,No Pattern,,Regular,"Colourful, Designer, Sports",16 sold
Mens Womens Trainer Liner Ankle Socks Invisible Cotton Low Cut Sports Socks lot,GBP 3.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Ankle Socks,"Breathable, Lightweight, Moisture Wicking, Seamed",No,Trainer,,Cotton,HIGH,Everyday,Low Cut,No Pattern,Machine Washable,,"Plain, Sports","5,249 sold"
Mens HJ Hall Softop HJ91 Cotton Rich Non-Elastic Top Socks (lot) All Sizes,GBP 6.49,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Non-Elastic Socks,"All Seasons, Antibacterial, Breathable, Lightweight, Moisture Wicking",No,N/A,,Cotton,HJ Hall,"Business, Casual, Formal",Lower Calf,No Pattern,Machine Washable,Regular,Health Socks,358 sold
3 Pairs Mens Gentle Grip® Honeycomb Top Soft Non Elastic Non Binding Socks 6-11,GBP 6.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Gentle Grip,"Diabetic, Non Elastic, Comfort Grip, Honeycomb Top, Soft Top, Gentle Grip",No,No,,Cotton,Sock Shop,"Business, Casual, Formal",Mid Calf,No Pattern,Machine Washable,Regular,Gentle Grip,"1,043 sold"
"Adidas Mens Women 1,3,6 Pairs Socks 3 Stripes Crew Socks Sports Gym Trainers",GBP 11.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Crew Socks,"All Seasons, Antibacterial, Arch Support, Breathable, Cushioned, Lightweight, Moisture Wicking, Slip Resistant",No,Black,,"Cotton, Elastane, Polyester",adidas,"Casual, Sports, Casual",Mid Calf,Striped,Machine Washable,Regular,"Logo, Sports","1,036 sold"
Mens 5 Pack Trainer Liner Socks Invisible Gym Running Cushioned Socks Size 6-11,GBP 4.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Athletic Socks,"All Seasons, Arch Support, Breathable, Cushioned, Lightweight",,,,"97% Polyester, 2% Elastodiene and 1% Elastane",Techni Socks,Casual,Low Cut and No show,,Machine Washable,Regular,N/A,"6,982 sold"
EX M&S 7 PAIRS Cool & Fresh Cotton Rich Socks Full Length Comfort 3 Colours,GBP 9.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Socks,"Cool an Fresh, All Seasons, Breathable, Cushioned, Lightweight, Thermal",No,none,,Cotton,Marks and Spencer,Casual,Mid Calf,No Pattern,Machine Washable,Regular,"City, Classic, Colourful, Dad, Designer, Modern, Outdoor, School, Teacher, University",226 sold
*** 9 PAIRS *** ** 100% COTTON ** MENS LOOSE SOFT GRIP TOP COMFORT FIT SOCKS,GBP 11.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Loose Top Comfort,"Loose Top Comfort Fit, Comfort Top, Non Elastic Socks, 100% Cotton, All Seasons",,,,Cotton,Premium Wear,"Business, Casual, Formal, Workwear",Regular Over Ankle,,,Regular Loose Top,,837 sold
"12x Mens Heavy Duty Extra Thick Work Socks Reinforced Size 6,7,8,9,10,11 LoT",GBP 2.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Work Socks,"stanzycompany work socks, HEAVY DUTY WORK SOCKS, BEST SOCKS ON EBAY, FOOT PROTECTION FOR STEEL TOE CAP BOOTS, BUILDERS SOCKS, MECHANICS SOCKS, All Seasons, Antibacterial, Arch Support, Breathable, Cushioned, Moisture Wicking",No,Boots,,Cotton,Superior,"Business, Casual, Formal, Workwear",Mid Calf,No Pattern,Machine Washable,Regular,"WORK BOOT SOCKS, THERMAL SOCKS, Outdoor, Sports",224 sold
"1,3,6 Pairs Mens Gents Long Hose Ribbed Grip Cotton Knee High Socks 6-11",GBP 3.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,All Seasons,No,football,,100% Cotton,Unbranded,Casual,Long Socks,No Pattern,Machine Washable,long hose,Classic,745 sold
Diabetic Ankle Socks Mens Circulatory Health Socks 3 12 Pairs 9-11 10-13 13-15,US $9.99/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Diabetic Ankle Cushioned Socks,All Seasons,Yes,Happy,"Black ,White ,Grey","90% Cotton, 7% polyester,3% elasthane",Vinco,"Business, Casual, Formal, Workwear",Ankle,Solid,Machine Washable,Regular,Happy,472 sold
