name,price,condition,toeStyle,style,features,handmade,character,color,material,brand,occasion,sockLength,pattern,garmentCare,sizeType,theme,availability
CK Calvin Klein Mens Womens Low Cut Trainer Socks Liner Cotton Sports 6-11 lot,GBP 3.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Athletic Socks,"All Seasons, Antibacterial, Breathable, Lightweight, Moisture Wicking",No,Logo,,Cotton,Calvin Klein,"Casual, Workwear",Low Cut,No Pattern,Machine Washable,Regular,Sports,963 sold
"Skater basketball Socks Ladies Men's 19"" 23"" inches Long sport socks",GBP 5.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Sports Socks,All Seasons,No,None,,"82% cotton, 10% nylon, 5% polyacrylic, 5% elastan, Cotton, Nylon",Socks Lab,"Casual, Workwear",Knee High,Striped,,Regular,"80s, Sports",364 sold
"Men's Thermal Socks Winter Outdoor Work Black Thermal Socks UK 6-11 ,3 12 Pairs",GBP 1.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Dress Socks,"All Seasons, Breathable, Cushioned, Lightweight, Thermal",Yes,"Blue,Black, Blue, Boots",,"85% Acrylic, 15% Nylon",le11,"Business, Casual, Formal, Workwear",Mid Calf,No Pattern,Machine Washable,Regular,"Black, Designer, Outdoor",16 sold
10 Pairs Mens Big Foot Work Socks Heavy Duty Winter Boots Long Socks Size 11-14,GBP 9.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Outdoor Socks,"All Seasons, Arch Support, Breathable, Cushioned, Lightweight, Moisture Wicking, Non-Slip, Slip Resistant, Thermal",No,Boots,,"65% cotton, 35% polyester",Dashy,"Business, Casual, Formal, Workwear",Mid Calf,Grey Under foot padding,Machine Washable,Big & Tall,"Work, Outdoor",138 sold
"12 Pairs Men's Socks Plain Black Cotton Rich Luxury Casual Soft Sock,Size 6-11",GBP 12.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Dress Socks,"All Seasons, Breathable, Lightweight, Moisture Wicking",No,Plain Black,,"55% Cotton, 43% Polyester, 2%elastane, Cotton",gifts888,Casual,Mid Calf,No Pattern,Machine Washable,Regular,Classic,49 sold
Nike Everyday Dri-Fit Socks Cotton Cushioned 6 Pairs Crew Socks Sports Gym Socks,GBP 19.89,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Crew Socks,Cushioned,,"Hero, Skater Girl, Warrior, Wonder Girl",,Cotton,Nike,Casual,,no,Machine Washable,,Sports,20 sold
Fashion Mens Combed Cotton Socks Funny Animal Novelty Casual Dress Big Size Sock,GBP 2.89,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Everyday Socks,,,,,Cotton Blend,Unbranded,Workwear,Knee-High,"Novelty, Cartoon",Machine Washable,Big & Tall,Novelty,227 sold
3-12 Pairs Men Circulatory Health Diabetic Ankle Socks Quarter 9-11 10-13 13-15,US $9.99/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Diabetic Ankle Cushioned Socks,All Seasons,Yes,Happy,,"90% Cotton, 7% polyester,3% elasthane",Vinco,"Business, Casual, Formal, Workwear",Ankle,Solid,Machine Washable,Regular,Happy,337 sold
6-12 pairs Premier Quality Men's Cushioned sports & Work Socks Cotton Rich 6-11,GBP 6.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Crew Socks,"All Seasons, Cushioned, Non-Slip",No,Boots,,Cotton,ctl,"Business, Casual, Formal, Workwear",Mid Calf,No Pattern,Machine Washable,Regular,Sports,68 sold
Men Socks/Hose Highland Kilt Dress Socks Green Scottish Piper's Kilt Wool Socks,GBP 6.25,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Knee Highs,,,,,,Highland,,,,,,Scottish,61 sold
DEOMED COTTON Diabetic MEDICAL SOCKS Seamless Antibacterial WIDE Non-Compression,GBP 4.69,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,Antibacterial,,,,Cotton,Deomed,Casual,Standard Lenght,,Machine Washable,,,266 sold
Men's Neon Teddy Boy Socks Mens Bright Fancy Dress Socks 6-11,GBP 4.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Neon Socks,Neon,,,,Polyester,The Glowhouse,,Mid Calf,No Pattern,,Regular,Wedding,"1,388 sold"
6 Pairs Mens Multi Color Pattern Dress Socks Crew Casual Fashion Size10-13 Value,US $12.31,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,,,,Multicolor,,ATB,,,,,,,22 sold
DICKIES Men's Women's Trainer Quarter Work Socks Ankle Thick Heavy Duty 6-11 lot,GBP 3.49,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Work Socks,"All Seasons, Antibacterial, Arch Support, Breathable, Cushioned, Moisture Wicking",,Boots,,Cotton Blend,Dickies,Workwear,Long Socks,Ribbed leg,Machine Washable,Regular,Designer,113 sold
Trespass Mens Ski Socks 2 Pack Longer Length Socks Langdon II,GBP 14.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Athletic Socks,,,,,,Trespass,,,,,Regular,,39 sold
6 PAIRS MENS COTTON RICH HIGH QUALITY BLACK SOCKS SIZE 39-42 (EU) = 6 - 8 (UK),GBP 6.90,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Formal socks,All Seasons,,N/A,,Cotton Rich ( 95% cotton+5% Elest.),B I X T R A,Casual,Mid Calf,No Pattern,Machine Washable,Regular,N/A,83 sold
Anti Slip Grip Football Plain Long Socks Sport Knee High Hockey Soccer Rugby,GBP 2.00,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Knee Highs,Non-Slip,No,,,Cotton,Unbranded,Casual,Knee High,Polka Dot,,Regular,Sports,66 sold
MENS PLAIN FOOTBALL SOCKS SOCCER HOCKEY RUGBY SPORTS SCHOOL LONG TUBE SOCKS,GBP 4.64,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Athletic Socks,"Non-Slip, Breathable",,,,Cotton,Unbranded,Casual,Knee High,Solid,,,Sports,25 sold
Mens Big Foot Extra Wide Socks Non Elastic Diabetic Oedema 3-12 Pairs 11-14 Work,GBP 6.50,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Non Elastic Extra Wide Diabetic Socks,"All Seasons, Breathable",No,No Character,,80% Cotton 18% Polyester 2% Elastane,Essentials Collection,"Casual, Work Socks",Mid Calf,No Pattern,Machine Washable,Big & Tall,Everyday Wear,"1,800 sold"
Diabetic Socks Men's Non Elastic Cotton Gentle extra wide Pairs Size UK 6 - 11,GBP 4.51,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,"Diabetic Socks ,Men's Non Elastic,Gentle Grip,Extra WideFit","Diabetic socks, Diabetic, All Seasons, Breathable, Lightweight",No,"no, Stitch",,"Cotton, Elastane",styleandfashionwholesalers,"CASUAL, FORMAL, Business, Casual, Formal, Workwear",Mid Calf,Plain,Machine Washable,Regular,Designer,"3,093 sold"
WOMEN MEN %100 WOOL MERINO SOCKS PAIR OF THICK LAMBSWOOL WOOLLEN WINTER THERMAL,GBP 6.49,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Thermal Socks,Thermal,,Organic,,Wool,Unlu,Casual,Regular,Pattern,Machine Washable,Regular,Winter,254 sold
Off White Diagonal Cross Skate Socks (WHITE),GBP 11.99,"New without tags: A brand-new, unused, and unworn item (including handmade items) that is not in ...",,Sneaker Socks,All Seasons,,Black Panther,,Cotton,Unknown,Casual,Mid Calf,Striped,,Regular,Sports,15 sold
Adidas No-Show 3 Pairs Men's Women Thin And Light Socks Gym Trainer Socks,GBP 8.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,No Show,"All Seasons, Breathable, Lightweight",,Claire,,"Cotton, Elastane, Polyester",adidas,Casual,No-Show,Solid,,Regular,Sports,17 sold
Mens 2 Pair Pack Red Tartan Retro Socks,GBP 6.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,All Seasons,No,Tartan,,"75% Cotton, 20% Polyester, 5% Elastane",mazeys,Casual,Ankle Socks,No Pattern,,Regular,"Skinhead, Tartan, Retro",302 sold
New Kappa 3 Pair Pack Everyday Crew Sports Socks Mens Cotton White Black Grey,GBP 6.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,All Seasons,No,,,"Cotton, Polyester",Kappa,Casual,Mid Calf,No Pattern,,Regular,Sports,101 sold
Ladies 6 Pairs Socks Black Ankle Cotton Blend Work Everyday Socks Size UK 4-8,GBP 5.49,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,"Breathable, Lightweight",,N/A,,"45% Cotton, 53% Polyester and 2% Elastane",FCO,"Casual, Everyday",Mid Calf,No Pattern,Machine Washable,,N/A,"9,402 sold"
Women Long Socks Over Knee Thigh High School Girl Stocking Hosiery Nightclub,C $3.13,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,School Socks,,,,,Acrylic,Unbranded,,Over the Knee,,,,,133 sold
Mens Thermal Diabetic Socks Thick Winter Warm Non Elastic Work Sock Size UK 6-11,GBP 4.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Outdoor Socks,Thermal,No,Not Applicable,,Mixed Fibres,Unbranded,Casual,Mid Calf,No Pattern,Machine Washable,Regular,Outdoor,288 sold
10Pairs Summer Men Cut Short Socks Breathable Cotton Sport Boat Sock Mesh Casual,US $13.07,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Casual,"Breathable, Lightweight, Moisture Wicking, Non-Slip",No,Casual,,Cotton Blend,Lovyno,Casual,,Solid,,Regular,Casual,17 sold
3-12 Pairs Men Sports Leaf Marijuana Cushioned Crew Cotton Long Socks Size 10-13,US $6.99/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Crew Socks,"All Seasons, Breathable, Cushioned, Moisture Wicking",No,,randomly pick from the pictures shows,"80% Cotton, 20% Polyester",Unbranded,"Casual, Workwear",Mid Calf,Leaf Weed,Machine Washable,Regular,"Leaf, Sports","2,481 sold"
Gelante men's Funky Fashion Dress Socks Casual Cotton 12 Pairs size 10-13,US $18.95/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Dress,All Seasons,No,Happy,Multicolor,90% Cotton 8% Polyester 2% Elastic,Gelante,"Business, Casual, Formal, Workwear",Mid Calf,Design,,Regular,"Funky, Classic, Funny, Happy",739 sold
12 Pairs Fila Men's Crew Sports Socks Cushioned Trainer Ankle Gym Work Socks lot,GBP 6.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,"All Seasons, Arch Support, Breathable, Cushioned, Lightweight",,Boots,,Cotton Blend,FILA,"Business, Casual, Formal, Workwear",Mid Calf,,,Regular,Sports,"1,142 sold"
Nike 3 Pairs Socks Mens Womens Crew Everyday Sports Socks Cotton,GBP 10.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Crew Socks,"All Seasons, Antibacterial, Arch Support, Breathable, Cushioned, Lightweight, Moisture Wicking, Non-Slip",No,Mens/Womens,,"60% cotton/37% polyester/3% elastane, Cotton",Nike,"Business, Casual",No-Show,No Pattern,Machine Washable,Regular,Sports,4 sold
"Hilly Marathon Fresh Anklet, Odour Free Socks, Ankle Running Socks LP £15",GBP 11.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Flat Locked Toe Seam for Strength and Comfort,Athletic Socks,"Vented Upper and Outer, Fast Wicking & Quick Drying, Durable, Comfortable Fabrics, Flat Toe Seam for Comfort, Polygiene Anti Odour Treatment, All Seasons, Antibacterial, Arch Support, Breathable, Cushioned, Grippers",,,,Polyamide (tough durable nylon) and 3% Lycra.,Hilly,Activewear,Anklet,Sports,Machine Washable,,,240 sold
NIKE SOCKS CREW LENGTH 3 PACK Mix Colours TRAINING SOCK GYM 9-12,GBP 14.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,Lightweight,,,,,Nike,Casual,No-Show,,,Regular,Sports,10 sold
Men's Bamboo Socks 3 Pairs Pack Premium Quality Soft Socks Black Brown Navy Grey,GBP 8.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,"All Seasons, Arch Support, Breathable, Lightweight, Moisture Wicking",No,,,Bamboo,Wonky Line,"Business, Casual, Formal",Mid Calf,No Pattern,Machine Washable,Regular,"Classic, Modern, Teacher",219 sold
Pack 1x 2x 3x 6x Womens Ladies Boys Girls Knee High Cotton Socks School Uniform,GBP 1.39,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Knee-High,"Breathable, Lightweight",,"Long Socks, Boy",,Cotton,Unbranded,,Knee High,No Pattern,Machine Washable,,Plain,"10,665 sold"
New Kappa 3 Pair Pack Everyday Crew Sports Socks Mens Cotton White Black Grey,GBP 6.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,All Seasons,No,,,"Cotton, Polyester",Kappa,Casual,Mid Calf,No Pattern,,Regular,Sports,101 sold
3 Pairs Mens Thermal Padded Technical 2.0 Tog Warm Ski Socks Long Length UK 6-11,GBP 12.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Outdoor Socks,"Breathable, Cushioned, Moisture Wicking, Thermal",No,n/a,,53% Cotton 45% Polyester 2% Elastane,Unbranded,Casual,Knee High,No Pattern,Machine Washable,Regular,Sports,89 sold
MEN'S WELLINGTON WELLIE BOOTS WARMER SOCKS LINER FLEECE 6-11 1 PAIR,GBP 5.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,WELLINGTON SOCKS,Thermal,No,Boots,,Fleece,Wellington,Casual,Mid Calf,,,LADIES/ MENS,Outdoor,120 sold
Adidas No-Show 3 Pairs Men's Women Thin And Light Socks Gym Trainer Socks,GBP 8.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,No Show,"All Seasons, Breathable, Lightweight",,Claire,,"Cotton, Elastane, Polyester",adidas,Casual,No-Show,Solid,,Regular,Sports,17 sold
Mens Thick Heavy Duty Wool Blend Work Hiking Boot Socks Winter Warm Thermal UK,GBP 3.19,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Work Socks,Thermal,No,Boots,,Wool,Blend,Casual,Regular Socks Length,No Pattern,Machine Washable,Regular,Outdoor,"6,407 sold"
(100%Cotton) New Non Elastic Diabetics Socks for Men’s Size 6-11,GBP 4.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Novelty Socks,All Seasons,No,none,,Cotton,Unbranded,Casual,standard,,,Regular,Novelty,79 sold
5Pairs Business Mens 100% Bamboo Casual Dress Sock Comfort Breathable Socks,US $16.89/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Casual,Breathable,,,,"Bamboo, Cotton",100%,Casual,,,,,Sports,12 sold
12 Pairs Men's Sport Socks Comfortable Cotton Rich Cushion Sole WHITE SIZE 6-14,GBP 2.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Athletic Socks,Cushioned,,,,Cotton,SOLE,Casual,,,,Big & Tall,Sports,106 sold
Gelante Men's Dress Socks Funky Fashion Casual Cotton 12 Pairs size 10-13,US $17.95/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Dress Socks,"All Seasons, Breathable, Lightweight",,Funky,,90% Cotton 8% Polyester 2% Elastic,Gelante,"Business, Casual, Workwear",Crew Sock,,Machine Washable,Regular,Classic,"4,282 sold"
6 PAIRS MENS COTTON RICH HIGH QUALITY BLACK SOCKS SIZE 39-42 (EU) = 6 - 8 (UK),GBP 6.90,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Formal socks,All Seasons,,N/A,,Cotton Rich ( 95% cotton+5% Elest.),B I X T R A,Casual,Mid Calf,No Pattern,Machine Washable,Regular,N/A,83 sold
Mens Cotton 12 Pairs Pack Argyle Design Designer Fashion Work Socks Size 6-11,GBP 9.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Dress Socks,"Argyle Design, All Seasons, Breathable",No,Argyle,,Cotton,Roberto Pierre,Casual,Mid Calf,Argyle/Diamond,Machine Washable,Regular,Designer,477 sold
"Merino Socks, 100% Merino Wool, Soft and Warm, Unisex Socks Very Thick!!!",GBP 16.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Home Socks,"All Seasons, Antibacterial, Breathable, Lightweight",Yes,No Character,,"Merino, Wool",Roberts rugs,"Casual, Formal, Workwear",Mid Calf,No Pattern,Hand Wash Only,Regular,Outdoor,260 sold
Five Toe Socks Cotton Blend Soft Absorbent Stockings Breathable Friction-proof,GBP 3.59,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,Non-Slip,,,,Cotton,Unbranded,Casual,Low Cut,Solid,,Regular,,142 sold
Mens black & White Gentle Grip NON ELASTIC Socks Soft COTTON Honeycomb Top 6-11,GBP 5.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,All Seasons,No,Blue,,Cotton,Gentle Grip,Casual,Regular,No Pattern,Machine Washable,Regular,"Colourful, Designer, Outdoor",397 sold
WOOL SOCKS MERINO THERMAL WOMEN MEN PAIR OF THICK %100 LAMBSWOOL WOOLLEN WINTER,GBP 7.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Thermal Socks,Thermal,,Organic,,Wool,GAGAWOOL,Casual,Regular,Pattern,Machine Washable,Regular,Winter,38 sold
SockShop Gentle Grip Ladies 6 Pairs Cotton Non Elastic Top Diabetic Socks UK 4-8,GBP 0.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Diabetic,,,,,Cotton,Gentle Grip,Everyday,Mid Calf,Striped,Machine Washable,,Hearts,"2,030 sold"
Mens Cotton Socks Funny Banana Watermelon Strawberry Pear Fruit Dress Socks 8-12,US $3.26,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Novelty Socks,,,,Multi-Color,Cotton Blend,Unbrand,Workwear,Mid Calf,,,Regular,Fruits,129 sold
Stance x Simpsons mens crew socks L size Free shipping,US $24.00/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,,,,Green,Cotton Blend,Stance,,Mid Calf,,,Regular,,8 sold
MR HERON - Mens Animal Patterned Design Soft Bamboo Novelty Socks,GBP 8.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Novelty Socks,,,,,Bamboo,Mr Heron,Casual,,,,,Designer,281 sold
"12 Pairs Of Mens Black Socks, Cotton Rich Lycra Socks, Size 6-11 By SockStack",GBP 7.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,"All Seasons, Antibacterial, Lightweight",,n/a,,"Lycra, Cotton",SockStack,Casual,Mid Calf,,,Regular,Classic,65 sold
Mens 100% Cotton Non Elastic Socks Gentle/Loose/Wide Grip Comfort Soft Diabetic,GBP 4.15,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Non-Elastic Socks,"All Seasons, Antibacterial, Breathable, Lightweight",No,plain,,Cotton,Unbranded,"Business, Casual",Long Socks,No Pattern,Machine Washable,Regular,plain,819 sold
Thermal Socks Ladies Hiking Boot Socks Thick Winter Warm Adults Assorted 4-7,GBP 6.50,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Thermal Socks,"Breathable, Lightweight, Thermal",No,Boots,,"85% Acrylic 15% Nylon, 100% Nylon, Acrylic",styleandfashionwholesalers,"Activewear, Business, Casual, Clubwear, Everyday, Formal, Travel",Mid Calf,No Pattern,Machine Washable,,Outdoor,"1,699 sold"
"1-12 Pairs Mens Quality Warm Socks,Work Running Outdoor Boot Socks Size 9-12- M3",GBP 3.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,,,Boots,,,ES Traders,Casual,,,,,,347 sold
Mens 2 Pair Pack Red Tartan Retro Socks,GBP 6.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,All Seasons,No,Tartan,,"75% Cotton, 20% Polyester, 5% Elastane",mazeys,Casual,Ankle Socks,No Pattern,,Regular,"Skinhead, Tartan, Retro",302 sold
Footy Socks Pink Red Navy Royal Blue Black Football Socks +FREE Sports Socks,AU $8.50,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Football Socks,,,Blue,,,PINK,,Knee High,,,,Sports,"14,675 sold"
Deluxe Quality Cotton Over The Knee Thigh High Socks - 50+ Styles to choose from,GBP 2.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Over The Knee,"Over Knee Thigh High Socks, Comfortable and Breathable Fabric Blend, Versatile Styling for Casual and School Wear, Fashionable Colors and Patterns, All-Day Comfort with Stay-Up Technology, Durable and Easy to Maintain",,,,"80% Cotton, 18% Polyamide, 2% Elastane",FNA Fashions®,,,,,Regular,"1920s & 1930s, Candy & Sweets, Carnival, Cartoon Characters, Catwoman, Cheerleader, Easter, Halloween, Hippie, Steampunk, Supergirl, Superwoman, Witch, Zombie, Halloween , Disco , School","15,233 sold"
3 Pairs Ladies Mens Thick Insulated Winter Low Cut Thermal Ankle Trainer Socks,GBP 8.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Thermal,,,,,Acrylic,Sock Snob,Everyday,,No Pattern,Machine Washable,,plain,"1,492 sold"
Pack 3x 6x 12x Mens Womens Ladies Boys Girls Cotton Rich Plain Socks Uniform,GBP 1.75,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,"All Seasons, Antibacterial, Breathable, Lightweight",No,Boy,,Cotton,Unbranded,Formal,Ankle Socks,No Pattern,Machine Washable,Regular,Everyday Use,"3,019 sold"
"men's and women's woolen camel socks, size 38-45, winter",US $6.42,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,,,,Beige,Wool,Camel,,,,,,,2 sold
Mens Cotton Socks Fun Colorful Argyle Dots Stripe Novelty Casual Dress Sock 8-12,GBP 2.89,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Everyday Socks,,,,,Cotton Blend,Unbranded,Casual,Knee-High,"Novelty, Cartoon",Machine Washable,Regular,Novelty,331 sold
10 PAIRS MEN'S BLACK SOCKS COTTON RICH FORMAL SOCKS EVERYDAY size UK 6-11 WPG,GBP 3.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Formal socks,,,,,Lycra,MSK,,,,,Regular,,4 sold
Mens Kilt Hose Ribbed Socks,GBP 7.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,,,,,Wool Blend,Lonascott,,,,,,,154 sold
Caterpillar CAT Workwear Mens Premium 3 Pair Pack Trainer Sneaker Work Socks,GBP 8.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Sneaker Socks,"All Seasons, Breathable, Cushioned, Moisture Wicking",No,Cat,,"Cotton, Polyamide, Polyester, Elastane",Caterpillar,Workwear,Low Cut,Logo,Machine Washable,Regular,"Outdoor, Work",106 sold
Mens Diabetic Non Elastic Rib 100% Cotton Soft Socks 3 Pairs Size UK 6-11,GBP 3.80,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Dress Socks,"Diabetic socks, Diabetic, All Seasons, Breathable, Lightweight",No,"no, Stitch",,"Cotton, Elastane",Unbranded,"CASUAL, FORMAL, Business, Casual, Formal, Workwear",Mid Calf,Plain,Machine Washable,Regular,Designer,15 sold
6Pair Men Cotton Toe Socks Five Finger Solid Sport Ankle Breathe Low Cut Classic,US $3.96/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Casual,,,,,Cotton Blend,Unbranded,,,Geometric,,,Novelty,6 sold
Mens Diabetic Socks Non Elastic Cotton Rich Plain Black Big Foot Size 6-11 - 14,GBP 6.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,All Seasons,,,,Cotton,PINK (UK),"Business, Casual, Formal",Mid Calf,Mixed,Machine Washable,Regular,Dress,98 sold
** 3 PAIRS ** MENS SUPER COMFORT TOP / CUFF BOOT SOCKS BY BERRY & WILSON,GBP 9.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Loose Top Super Comfort Boot Socks,"Loose Top Comfort Fit, Comfort Top, All Seasons",,"Comfort Top Socks, Boots",,"88% Cotton , 12% Polyamide",Berry & Wilson,"Business, Casual, Formal, Workwear",Regular Over Ankle,,Machine Washable,Regular,,76 sold
Ballet Socks Pink Black White Tap Jazz Modern Dance Socks CHILD/ADULT SIZES,GBP 2.90,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,,,,,,,Roch Valley katz,,,,,,,14 sold
6 Pairs Mens Merino Wool Soft Warm Socks - Wool Blend Boot Hiking Walking Socks,GBP 8.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,Wool Blend,,,,"10% Merino Wool, 10% Acrylic, 10% Cotton, 65% Polyester, 5% Spdx",Soxy,Workwear,Mid Calf,,,Regular,,198 sold
**10 PAIRS** MENS UMBRO TRAINER / NO SHOW SOCKS *100% GENUINE* ** ALL SIZES **,GBP 13.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sports Socks / Trainer Socks,"All Seasons, Antibacterial, Arch Support, Breathable, Cushioned, Lightweight, Moisture Wicking",,,,"67% Cotton, 23% Nylon , 8% Polyester , 2% Elastane",Umbro,"Everyday, Casual, Formal",Ankle Socks,,Machine Washable,Regular,,"1,698 sold"
Joe Cool Novelty Funky Men & Ladies Animal Themed Ankle Socks Birthday's & Xmas,GBP 4.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,All Seasons,,"Animal, Dinosaur, Parrot, Hedgehog, Elephant, Rabbit, Bees, Llama, Penguin",,Cotton Blend,Joe Cool,Everyday,Ankle Socks,Animals,Machine Washable,Regular,"Novelty, Rabbit, Shark, Bumble Bees, Sloth, Llama, Dinosaur, Penguin, Animals","1,581 sold"
2 Pairs/lot Natural Silk Socks Breathable & Comfortable Women Socks Luxury Silk,US $9.90/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,"All Seasons, Antibacterial, Breathable, Moisture Wicking",Yes,Angel,,Silk,Dream Home,Business,Mid Calf,Real silk,,Regular,"American, Anime, Art, Aztec, Nature",107 sold
Under Armour Unisex Quarter 3 Pairs Socks Performance Tech Gym Trainers Socks,GBP 11.89,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Athletic Socks,"Arch Support, Breathable, Lightweight",No,Atom,,"Elastane, Polyester",Under armour,"Business, Casual, Formal",Mid Calf,No Pattern,,Regular,Sports,11 sold
5 Pairs Men/Women Winter Camel Warm Couples Outdoor Cold Weather Wool Socks,US $14.94/ea,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,Thermal,,,Camel,15%WOOL,Unbranded,Casual,Mid Calf,,,Regular,Outdoor,26 sold
