,name,price,condition,toeStyle,style,features,handmade,character,color,material,brand,occasion,sockLength,pattern,garmentCare,sizeType,theme,availability
158,Gelante New Mens Funky Dress Socks Fashion Casual 12 Pairs size 10-13,18.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Dress,"All Seasons, Breathable",No,Funky Dress Socks,Multicolor,90% Cotton 8% Polyester 2% Elastic,Gelante,"Business, Casual, Formal",Mid Calf,Geometric,,Regular,"Funky Dress Socks, 80s, 90s",1024.0
159,"Ultimate 12 Pairs Mens Black Thermal Socks, Thick Warm Work Boot Socks Size 6-11",16.4973,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,"Outdoor Socks , Thermal Socks , Work Socks , Boot",Thermal,Yes,Boots,,Cotton,Premium Wear,Casual,Low Cut,No Pattern,Machine Washable,Regular,"Novelty, Outdoor, Space",414.0
160,5 Pairs Men Bamboo Fiber Socks Business Anti-Bacterial Deodorant Breathable Sock,9.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Ankle Sock,Breathable,,Sports,,Bamboo Fiber,Unbranded,Casual,Mid Calf,Solid,,Regular,Casual,1025.0
161,Adidas Unisex Cushioned 3 Pack Crew Logo Socks / RRP £15 / White,8.89,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,Cushioned,No,,,Cotton,adidas,Casual,Mid Calf,Striped,,Regular,Logo,19.0
162,6/12 Pairs Mens Trainer Quarter Ankle reinforce Work Socks Thick Heavy Duty 6-11,5.7023,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Work Socks,"All Seasons, Antibacterial, Arch Support, Breathable, Cushioned, Moisture Wicking",No,Boots,,Cotton Blend,Unbranded,Casual,Mid Calf,Ribbed leg,Machine Washable,Regular,Designer,753.0
163,Happy Crew Socks Novelty Patterned Breathable Anti-Odor Unisex CUSTOM Gift Set,3.1623,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,Breathable,,,,"Cotton, Elastane, Polyester",Unbranded,Casual,Mid Calf,,,Regular,"Colourful, Happy, Novelty",215.0
164,PUMA Sports Crew Cushioned Socks Unisex (6 Pair Multi-Pack) Comfort & Support,27.8765,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Crew Socks,"All Seasons, Breathable, Cushioned",No,,,"Cotton, Cotton Blend, Elastane, Polyester",PUMA,"Everyday, Activewear, Travel, Casual, Workwear",Over the Calf,No Pattern,Machine Washable,Regular,"Beach, Christmas, College, Holiday, Logo, Outdoor, School, Sports, University",80.0
165,Mens Ribbed 100% Cotton Soft Top Elastic Formal Casual Dress Socks (lot) UK 6-11,3.7973000000000003,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Cotton Socks,"All Seasons, Breathable, Lightweight, Moisture Wicking",No,,,100% Cotton,Unbranded,"Business, Casual, Formal",Mid Calf,No Pattern,Machine Washable,Regular,Everyday Socks,216.0
167,12 Pairs DICKIES Mens Industrial Crew Boot Work Socks Thick Heavy Duty 6-11 lot,4.432300000000001,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Work Socks,"All Seasons, Antibacterial, Arch Support, Breathable, Cushioned, Moisture Wicking",,Boots,,Cotton Blend,Dickies,Workwear,Long Socks,Ribbed leg,Machine Washable,Regular,Designer,69.0
168,Unisex Men Women Cotton Toe Socks Five Finger Socks Casual Sports basketball,3.05,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress,,,,,Cotton Blend,Unbranded,,,Solid,,,Novelty,8.0
169,Relco Red & Yellow Fine Gauge Knitted Socks Mod Scooter Retro Skinhead Vintage,6.3373,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,All Seasons,,,,Polyester & Elastane,Relco,"Business, Casual, Formal",Trouser Socks,No Pattern,Machine Washable,Regular,Retro,1.0
170,Stance Men’s Crew socks Iron Maiden 9-12us Punk Band Skate Free shipping,18.9,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,,,,Black,"Cotton Blend, Nylon, Polyester, combed cotton",Stance,,Mid Calf,,,,"Metal, Music, Punk, skate",6.0
171,Men Ankle Five Finger Toe Socks Cotton Breathable Sport Causal Low Cut Hosiery .,1.1154,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,Non-Slip,,,,Cotton,Unbranded,,Low Cut,Solid,,,,3.0
172,5 Pk Mens Ladies Kids Long Thermal Ski Socks Hiking Snowboarding Cushioned Sole,12.6873,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,Cushioned,,,,Acrylic Blend,Soxy,,Over the Calf,Geometric,,Regular,Winter,2282.0
173,3 & 6 Pair Men Women Invisible Socks Anti Slip Trainer Shoe Liner Gym Socks New,3.7973000000000003,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,invisible,"All Seasons, Breathable, Lightweight, Non-Slip",,Comfort,,80% cotton 18%polyester 2% elastane,Invisible sock-sports sock,Casual,No-Show,No Pattern,,Regular,Sports,532.0
174,5 Pairs Men's five finger toe Socks Cotton Ankle Casual Sports Low Cut Breathe,3.82,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Toe,,No,,,Cotton Blend,Unbranded,,,Geometric,,,Novelty,24.0
175,3 Pairs MultiPack Men's Black Luxury Bamboo Super Soft Anti Bacterial Socks 6 11,6.3119,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,MID CALF,Antibacterial,No,,,Bamboo,Bamboo,"Business, Casual, Formal",Mid Calf,No Pattern,Machine Washable,Regular,Everyday,1791.0
176,6 PAIRS BIG FOOT 100% COTTON MENS LOOSE / SOFT GRIP TOP COMFORT FIT SOCKS,12.6365,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Loose Top Comfort,"All Seasons, Loose Top Comfort Fit, Comfort Top, Non Elastic Socks, 100% Cotton",,,,Cotton,NON ELASTIC SOCKS,Casual,Regular Over Ankle,,Machine Washable,Regular Loose Top,,196.0
177,Ladies Trainer Liner Ankle Socks 5 Pairs Womens Cotton RIch Low Cut Design Socks,5.7023,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Trainer Liners,"Breathable, Lightweight",,No Character,,"65% Cotton, 33% Polyester and 2% Elastane",The Essentials Wardrobe,"Casual, Everyday",No-Show,Floral,Machine Washable,,No Theme,11542.0
178,Dr Scholl's Extra Wide Non Elastic Low Cut Ankle Diabetic Sports Socks 6-11 Lot,10.1473,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Athletic Socks,"Non Binding, Arch Support, Breathable, Cushioned, Lightweight, Moisture Wicking, Non-Slip, Slip Resistant",No,Boots,,Polyester,Dr. Scholl's,"Business, Casual, Formal, Workwear","Low Cut, Ankle",,,Regular,Sports,515.0
179,Ultimate 12 Pairs Mens Black Thermal Winter Thick Warm Work Boot Socks Size 6-11,11.417300000000001,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Crew Socks,"All Seasons, Cushioned, Thermal",No,Boots,,Cotton Blend,ctl,Casual,Mid Calf,ribbed,Machine Washable,Regular,Classic,1765.0
182,12 Pairs Mens 100% Pure Cotton Rib Socks Comfort Soft Grip Diabetic 6-11 & 10-13,16.4973,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Non Elastic Socks,"Antibacterial, Breathable, Lightweight",,Boots,,100% Cotton,100% cotton,"Casual, Formal",Long Socks,No Pattern,Machine Washable,Regular,Outdoor,496.0
183,6 Pairs Mens Diabetic Friendly Heavy Duty Work Socks Wide Top Cushioned Size6-11,12.6365,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Outdoor Socks,Cushioned,No,,,Cotton Blend,Unbranded,Casual,Mid Calf,No Pattern,Machine Washable,Regular,Work,214.0
184,Men's Dewalt Work Boot Warm Socks - 12 Pack - Black/Grey - Size UK 6-11,15.2273,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,,,Boots,,Cotton Blend,RTX,Casual,Mid Calf,No Pattern,,,Classic,63.0
188,New Azad Premium Leather Zipper Socks High Ankle Khuffs / Footwear high quality,7.6073,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,SOCKS,"All Seasons, Antibacterial, Arch Support, Breathable, Cushioned, Lightweight, Moisture Wicking, Non-Slip, Slip Resistant, Thermal",Yes,"Andrea, Angel, Astro Boy, Atom, Barbie, Batman, Belle, Bill, Black Cat, Black Panther",,"Fleece, Leather",Azad,"Business, Casual, Formal, Workwear",Mid Calf,No Pattern,,"Regular, Plus","3D, 80s, 90s, Aloha, American, Animals, Anime, Army, Art, Aztec",569.0
189,3 6 12 Pairs Mens Heavy Duty Work Toe Protection Warm Thick Heel Socks UK 6-11,6.972300000000001,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,Cushioned,No,Boots,,Cotton Blend,RSJ,Casual,Mid Calf,No Pattern,,Regular,"Outdoor, Sports",728.0
190,4 pack Mens Wool Rich Fisherman Long Hose Angling Fishing Sea Boot Warm Socks,17.7673,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,Thermal,,,,Wool Blend,Soxy,Outdoor wear,Knee High,,,Regular,,2272.0
191,JEEP - 6 Pairs Mens Cushioned Sport Ankle Trainer Socks For Running,15.2273,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Athletic Socks,Cushioned,,,,,Jeep,Casual,,,,,Sports,673.0
192,12 Pairs Dickies Men's Industrial Crew Boot Work Socks Heavy Duty Sport 6-11 lot,2.2225,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Work Socks,All Seasons,No,Boots,,Cotton Blend,Dickies,Workwear,Long Socks,Ribbed leg,Machine Washable,Regular,Designer,73.0
193,Fashion Boys Mens Socks Cotton Warm Novelty Cartoon Casual Work Long Socks 8-12,3.4036000000000004,"New without tags: A brand-new, unused, and unworn item (including handmade items) that is not in ...",,Novelty Socks,"All Seasons, Breathable",Yes,,,Cotton Blend,Unbranded,"Business, Casual, Formal, Workwear",Mid Calf,Geometric,Machine Washable,Big & Tall,"Animals, Biker, Cartoon, Christmas, Colourful, Dad, Festival, Fun, Funny, Hip Hop, Novelty, Outdoor, School",6.0
194,1-30 Pair Womens Mens Trainer Socks Ankle Liner Sports Cushioned Cotton 4-7 Lot,3.7973000000000003,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,"Everyday Socks, Sports Socks, Ankle Socks",Cushioned,,Sports,,Cotton,Comfortos,"Activewear, Casual, Everyday, Travel",Low Cut,No Pattern,Machine Washable,,solid,1772.0
195,100% Cotton Socks Men Formal Dress Socks 5 Pairs Pack Premium Quality Seamless,13.9573,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,"All Seasons, Arch Support, Breathable, Lightweight, Moisture Wicking",No,,,Cotton,Wonky Line,Formal,Mid Calf,No Pattern,Machine Washable,Regular,"Classic, Modern, Teacher",296.0
196,Mens Work Socks 6 Pairs Workwear Technical Premium Reinforced Cushion Sole,8.8773,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Work socks,"All Seasons, Arch Support, Breathable, Cushioned, Lightweight",,,,"51% Cotton, 47% Polyester and 2% Elastane",The Essentials Wardrobe,Workwear,Mid Calf,,Machine Washable,Regular,,2671.0
197,Mens Thick Heavy Duty Wool Blend Work Hiking Boot Socks Winter Warm Thermal UK,4.2799000000000005,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Work Socks,"Cushioned, Thermal",,Boots sock work footwear,,Wool,wool blend thermal socks,Casual,Regular Socks Length,No Pattern,Machine Washable,Regular,Outdoor,4168.0
198,12 Pairs Mens Army Military Patrol Combat Swat Boot Chunky Hiking Socks Thermal,21.577299999999997,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,Thermal,Yes,Boots,,65% Cotton 32% Polyester 3% Elastaine,Combat,Casual,Mid Calf,No Pattern,,Regular,Army,236.0
199,VANS SOCKS,16.4465,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,,,,,,VANS,Casual,,,,,,12.0
200,Nike Socks 3 / 6 Pairs Ankle Crew Training Sports Lightweight Everyday Essential,13.9573,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Athletic Socks,"All Seasons, Breathable, Cushioned, Lightweight, Moisture Wicking, Multipack, Stretch",No,Swoosh,,Cotton Blend,Nike,Casual,"No-Show, Cred, Mid Length",Logo,Machine Washable,,"Designer, Logo, Outdoor, Sports",1243.0
201,MENS SOCKS Bright Coloured Cotton Rich Breathable Casual Sock Pack 3/12 6-11 UK,6.7183,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Dress Socks,Breathable,Yes,Mens Cotton Socks,,Cotton,KK TRADERS,Casual,Mid Calf,Plain,Machine Washable,Regular,"Casual Socks, Colourful",46.0
202,Mens 2 Pair Pack Red Retro Socks,8.8773,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,All Seasons,No,Plain,,Cotton Blend,mazeys,Casual,Ankle Socks,No Pattern,,Regular,"Skinhead, 60s, 70s, Retro",322.0
203,Mens 6 Pack Sport Trainer Socks | Jeep | Low Cut Cushioned Socks,19.037300000000002,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Athletic Socks,,No,,,Cotton,Jeep,,Low Cut,No Pattern,Machine Washable,Regular,,21.0
204,Alpaca Wool Socks men women Cushioned Thermal Hiking Sock Cosy Christmas Socks,12.6873,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Calf Socks,"All Seasons, Arch Support, Breathable, Cushioned, Moisture Wicking, Non-Slip, Thermal",No,Boots,,"Alpaca, Wool",gowith,"Casual, Formal, Workwear",Mid Calf,No Pattern,Machine Washable,Regular,"winter, Christmas",177.0
205,Mens Work Boot Socks Performance Warm Thick Cushioning Protector Size 6-11,7.6073,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Outdoor Socks,"All Seasons, Arch Support, Breathable, Cushioned, Lightweight, Moisture Wicking, Slip Resistant, Thermal",No,Boots,,Cotton Blend,RTX,"Business, Casual, Formal, Workwear",Mid Calf,No Pattern,Machine Washable,Regular,Classic,29.0
206,"Alpaca Wool Socks, Cushioned Thermal Winter Hiking Sock Cosy Christmas Socks",11.417300000000001,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Calf Socks,"All Seasons, Arch Support, Breathable, Cushioned, Moisture Wicking, Non-Slip, Thermal",,Boots,,"Alpaca, Wool",gowith,"Casual, Formal, Workwear",Mid Calf,No Pattern,Machine Washable,Regular,"winter, Christmas",182.0
207,Under Armour Socks Mens UA Heatgear Socks 3 Pack Chushioned Socks,12.6873,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sports,,No,,,,Under Armour,Casual,,Solid,Machine Washable,Regular,,56.0
208,6&12 Pairs Mens Non-Elastic Cotton Comfort Grip Diabetic Socks UK 6-11/EU 39-45,5.6515,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Non-Elastic Socks,Non-Elastic,No,diabetic socks,,"14% Cotton 62% Polyester 22% Polypropylene 2% Elastane, Cotton, Polyester, Elastane",HPY,Casual,Long Socks,Varied,Machine Washable,Regular,diabetic socks,786.0
209,Unisex Invisible Trainer Shoe Liners Footsies Womens No Show Low Cut Socks CW,3.7973000000000003,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday,not applicable,,not applicable,,not applicable,Futuro Fashion,Everyday,not applicable,not applicable,Machine Washable,,not applicable,772.0
210,Waterproof Socks Breathable Hiking Wading Trail Running Kayaking Skiing Socks,6.99,"New without tags: A brand-new, unused, and unworn item (including handmade items) that is not in ...",,Outdoor Socks,"Breathable, Waterproof",,,,High Nylon,Unbranded,,,,,Regular,"Outdoor, Sports",4.0
211,6-12 pairs Mens Womens Trainer Liner Ankle Cotton Rich Sports socks size 6-8.5,6.3373,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",trainer,lowcut,All Seasons,No,lowcut,,Cotton,Unbranded,Casual,Low Cut,No Pattern,Machine Washable,Regular,Sports,436.0
212,3 Pairs DR MARTENS DOUBLE DOC SOCKS M/L UK 8-13,22.86,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Outdoor Socks,,,,,,Dr. Martens,Casual,,,,,,7.0
213,Umbro Mens Crew Socks Size 6-12 Black/White Sports Socks Gym Socks 5 PACK!,10.1473,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,,No,,,Cotton/Polyester,Umbro,Casual,Mid Calf,No Pattern,Machine Washable,Regular,Sports,636.0
214,Mens Thermal Socks 3 Pairs Black Winter Warm Ski Walking Boot Adults Size 6-11,5.969,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Everyday Socks,Thermal,No,Boots,,85% ACRYLIC 15% NYLON,Unbranded,"Casual, Workwear",Mid Calf,No Pattern Plain,Machine Washable,Regular,Ski,1916.0
215,Sports Socks Lycra Swimming Socks Dive Socks Fin Boot Socks Snorkling Socks,5.247000000000001,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Non-slip,,,,,,Unbrande,,,,,,,2.0
216,60 PAIRS MENS FASHION CASUAL SOCKS ASSORTED SIZE 6-11 WHOLESALE JOB LOT.,38.0873,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,,,,,,MAN,Casual,,,,,,681.0
217,MENS HAPPY SOCKS 5 PACK NAUTICAL PRINT UK 7½-11½ EU 41-46 ONLY £10.95 Novelty,12.5222,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,5 Pack Sock,"All Seasons, Lightweight",,Happy,,Cotton,Happy Socks,Casual,Mid Calf,Marine Print,Machine Washable,Regular,Novelty,25.0
218,10 Pairs Mens Soxy Cotton Rich Check Socks - Size 6-11 Retro Mod Squares,11.417300000000001,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Everyday Socks,,,,,"65% Cotton, 33% Polyester, 2% Elastane",Soxy,,Ankle Socks,Check / Squares,Machine Washable,,Check,495.0
219,"4 Pairs Men's Army Military Boot Socks Combat Trekking Hiking Size 10-13 ,13-15",15.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Military,All Seasons,Yes,Boots,"Black ,Green , Beige","78% Cotton, 15% Nylon, 2% Spandex, 5% Elastic",US Army,Casual,Crew,Solid,,Regular,"Military, American, Army, Outdoor",43.0
220,Long Hose Socks Mens Traditional 100% Cotton Full Knee Length Sock 3-6-12 Pairs,8.7503,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Knee Highs,"All Seasons, Lightweight, Thermal",No,Boots,,100% Cotton,WISHWISE,"Casual, Formal",Knee High,No Pattern,Machine Washable,Regular,Colourful,13.0
221,Mens Cotton Socks Novelty Cosplay Cartoon Big Size Dress Socks For Mens Gifts,3.6703,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Novelty Socks,"All Seasons, Breathable",,,,Cotton Blend,Unbranded,"Casual, Workwear",Mid Calf,"Novelty, Cartoon",Machine Washable,Big & Tall,Novelty,1273.0
222,"Karrimor Black Boot Socks, 3x Pairs, Mens Hiking, Walking, Size 7-11, RRP £11.99",7.1755,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Boot Socks,Midweight / Heavy Knit,,Boots,,Cotton Blend,Karrimor,"Casual, Trekking",Calf,No Pattern,,Regular,"Sports, Walking",103.0
223,Men's Cotton Socks 5 Pairs Premium Quality Business Casual Socks Brown Navy Grey,12.6873,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Dress Socks,"All Seasons, Arch Support, Breathable, Lightweight, Moisture Wicking",No,,,Cotton,Wonky Line,"Business, Casual, Formal, Workwear",Mid Calf,Argyle/Diamond,Machine Washable,Regular,"Classic, Modern, Teacher",144.0
224,"Hilly Anti Blister Socks, Twin Skin Socks, White Running Socks Mens LP £15",15.2273,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Flat Locked Toe Seam for Strength and Comfort,Athletic Socks,"Vented Upper and Outer, Double Layer Construction to Prevent Foot Friction, Fast Wicking & Quick Drying, Durable, Comfortable Fabrics, Inner Sock Arch Grip, Flat Toe Seam for Comfort, All Seasons, Arch Support, Breathable, Cushioned, Grippers",,,,"Polyamide, Meryl Skinlife, Dry Rel. Cotton, Lycra",Hilly,Activewear,Anklet,Sports,Machine Washable,,,251.0
225,6 & 12 Pairs Mens NoN Elastic Assorted Socks Loose Soft Grip Top Adults UK 6-11,3.7973000000000003,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Crew Socks,"All Seasons, Breathable, Lightweight",No,,,Cotton Blend,Clossy London,"Business, Casual, Workwear",Mid Calf,No Pattern,Machine Washable,Regular,"Modern, Classic, Colourful, Designer, Outdoor, Sports",82.0
226,Soxy® Heavy Duty Mens Work Socks Shoe Size 6-11 Safety/Steel Toe Boot Cushion,7.556500000000001,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Athletic Socks,,,,,,Soxy,,,,,,,3508.0
227,Storm Bloc 4 Pack Mens Anti Blister Padded Walking Boot Socks with Arch Support,15.2273,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Thermal Socks,,,,,Synthetic,Storm Bloc,,,Striped,Machine Washable,Regular,,6016.0
228,Mens Womens Ankle Socks Soft Cotton Invisible Sports Socks Low Cut Trainer Liner,5.0673,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Ankle Socks,"Breathable, Lightweight, Moisture Wicking, Seamed",No,Trainer,,Cotton,DUA,Everyday,Low Cut,No Pattern,Machine Washable,,Sports,535.0
229,Men Low Cut Diabetic Quarter Crew Circulatory Socks Health Cotton Solid Loose,6.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Diabetic Socks,"Soft, Loose fit",,Diabetic Patient,,"90% Cotton, 7% Polyester, 3% Elasthane",Rodex,,Low Cut,Solid,,Regular,Diabetic,289.0
230,Farah - 5 Pack Mens Soft Funky Striped Bright Coloured Bamboo Dress Socks,15.2273,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,,,,,Bamboo,Farah,Casual,,Striped,,Regular,Colourful,478.0
231,12 Pairs Mens Warm Thermal Socks Winter Outdoor Work Size UK Thick Heavy Duty,6.210299999999999,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Thermal,"Heavy Bulk Yarn, Long Hair Cushion, Thermal",No,Boots,,80 % Cotton 14 % Polyester 6 % Elastene,Unbranded,"Casual/Workwear, Workwear",Mid Calf,No Pattern,,Regular,"Army, Outdoor",1001.0
232,Mens Breathable Heavy Duty Cushioned Sole Cotton / Bamboo Summer Work Socks,10.1473,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Work Socks,"Breathable, Cushioned",,,,Cotton,Sock Snob,Casual,Ankle Socks,,Machine Washable,Regular,,82.0
233,3-12 Pairs MEN'S Long Length Knee High Thermal Lambs Wool Blend Socks UK (6-11),8.4963,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Knee Highs,Thermal,No,"Batman, Boots",,"55% Acrylic, 25% Wool, 18% Polyester, 2% Elastane Lycra",MK-ONESTOPSHOP,Casual,Knee High,No Pattern,Machine Washable,Regular,Colourful,500.0
234,10/20 Pairs Mens Cotton Rich Sport Socks Work Socks Size 6-11 Black White & Mix,8.826500000000001,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Sports Socks,,,,,Cotton Blend,Unbranded,Casual,,,,,Sports,709.0
235,Kappa Socks 3 Pairs Mens Womens Crew Ankle Cotton Sports Sock Size UK 2-11,8.5725,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Crew Socks,All Seasons,,,,Cotton Blend,Kappa,Casual,,No Pattern,Machine Washable,Regular,Sports,747.0
236,Over The Knee Thigh High Ladies Plain Cotton Lycra Socks Sox Xmas Party Cosplay,4.8133,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Thigh High,"Breathable, Lightweight",,,,"Acrylic Blend, Cotton, Cotton Blend",NuJake,"Casual, Clubwear, Everyday, Party/Cocktail",Over the Knee,No Pattern,Machine Washable,,"Back to School, Valentines Day, Christmas, College, Disco, Festival, Festive, Halloween, School, Sports, University",13381.0
237,Mens 85% MERINO Wool Work Boot Thick Hiking Winter Thermal Socks Size 1 PAIR,10.6045,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Outdoor Socks,"All Seasons, Antibacterial, Breathable, Lightweight, Moisture Wicking, Thermal",No,Boots,,"85% merino wool, 10% polymide, 3% polyester, 2% elastane",top brand,"Casual, Workwear",Mid Calf,marle,Machine Washable,Regular,"Army, Outdoor",14.0
238,Mens Ultimate Heavy Duty Cushion Cotton Steel Toe Boot Ankle Quarter Work Socks,13.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Ankle Sock,Cushioned,,Boots,Black,"55% Cotton, 23% Polyester. 20% Polyamide. 2% Elast",Ultimate Work Socks,,,,,,,1212.0
239,6 Pairs Men Merino Wool Socks Thermal Socks Insulated Cold Weather Winter Socks,21.49,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Crew Socks,Thermal,Yes,Boots,"Black ,Multi",Wool,Vinco,Casual,Mid Calf,Solid,Machine Washable,Regular,Happy,376.0
240,6 Pairs Merino Wool Socks Mens Thermal Socks Insulated for Cold Weather 10-13,21.99,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Thermal,"Arch Support, Breathable, Cushioned, Moisture Wicking, Thermal",Yes,Boots,Multicolor,"38% Merino Wool，45% Cotton, 10% Polyester, Wool",MERINO WOOL,Casual,Mid Calf,Assorted,,Regular,USA,222.0
241,Adidas Mens Women 3 Stripes Cushioned SPW Crew Socks 3Pairs Sports Training Sock,16.4973,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Full Toe,Crew Socks,Cushioned,No,Claire,,"Cotton 62%, Polyester 36%, Nylon 1%, Polyurethane 1%",adidas,Casual,Crew Socks,Striped,Machine Washable,Regular,Sports,21.0
242,Ladies Diabetic Socks Non Elastic Cotton Rich Luxury 3 6 12 Pairs Size 4 to 8,5.7023,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,,,,,"55% Cotton, 20% Polyester, 2% Elastane",City Boutique London,Everyday,Mid Calf,"Floral, Stripes, Plain, Diamond",Machine Washable,Regular,,800.0
243,Mens Socks 6 pairs high quality black grey brown cotton socks size 6-8 9-12,11.417300000000001,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Reinforced Toe,Dress Socks,"All Seasons, Breathable",No,plain,,Cotton,WIN,"Casual, Formal",Mid Calf,No Pattern,Machine Washable,Regular,Modern,395.0
244,"Orca Whale Socks | Adult UK Size 5-9 | Animals, Sea Life, Ocean Life Unisex Sock",4.445,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",,Dress Socks,,,,,"Cotton, Spandex",Socker Apparel,Casual,Mid Calf,Animal Print,Machine Washable,Regular,Animals,1.0
